food_name,diet_type,culture,meal_type,calories,protein,carbs,fat,medical_suitability,cost_per_100g,carbon_score,recommended_for,avoid_for,category,recipe
Samosa Special,Vegetarian,Indian,Snack,203,3,25,8,heart,46,2.3,Heart Healthy,"High Saturated Fat, Sodium",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Idli Sambar Dry,Vegetarian,Asian,Lunch,272,10,58,4,diabetes,47,1.8,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix Spicy,Vegan,Asian,Dinner,307,8,29,16,"thyroid,general",33,1.8,"Balanced Iodine, General Health","Excessive Processing, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Kachori Mild,Vegetarian,Asian,Snack,279,4,28,14,obesity,37,2.2,Weight Management,"High Calorie, Processed",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bacon and Eggs Dry,Non-Vegetarian,Western,Breakfast,496,33,13,30,ibs,43,3.1,Low FODMAP,High FODMAP,Breakfast,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Pasta Dry,Vegan,Asian,Breakfast,360,14,56,11,hypertension,33,1,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sausages Mild,Non-Vegetarian,Asian,Dinner,302,22,7,29,"pcos,obesity",81,3.1,"Anti-inflammatory, Weight Management","High Calorie, Processed, High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Biryani Spicy,Vegan,Mediterranean,Lunch,359,12,70,8,diabetes,42,1.8,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Lunch,441,16,70,14,"ibs,general",59,2.7,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Main Meal,"Prepare Vegetarian Thali 488 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature Special,Vegetarian,Asian,Snack,547,20,69,19,obesity,45,2.7,Weight Management,"High Calorie, Processed",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Korma,Non-Vegetarian,Mediterranean,Lunch,422,28,20,25,"ibs,obesity",64,4.3,"Low FODMAP, Weight Management","High Calorie, Processed, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Nuggets Dry,Non-Vegetarian,Indian,Snack,282,18,25,15,obesity,91,4.3,Weight Management,"High Calorie, Processed",Snack,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Samosa Mild,Vegetarian,Asian,Snack,182,3,22,8,diabetes,43,2.4,"Low GI, High Fiber","High Sugar, Refined Carbs",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta Spicy,Vegetarian,Indian,Breakfast,437,15,37,31,"diabetes,general",43,2.2,"Low GI, High Fiber, General Health","Excessive Processing, High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dhokla Deluxe,Vegetarian,Mediterranean,Lunch,227,9,41,3,thyroid,45,2.1,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature Mild,Vegetarian,Asian,Snack,468,14,83,21,diabetes,38,2.1,"Low GI, High Fiber","High Sugar, Refined Carbs",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Onion Pakora with Gravy,Vegetarian,Mediterranean,Snack,209,4,30,14,"heart,general",47,1.6,"Heart Healthy, General Health","Excessive Processing, High Saturated Fat, Sodium",Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Non-Vegetarian Thali,Non-Vegetarian,Indian,Lunch,490,30,57,19,diabetes,51,3,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare Non-Vegetarian Thali 49 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Stir Fry,Vegan,Mediterranean,Lunch,337,16,35,13,"obesity,heart",34,1,"Heart Healthy, Weight Management","High Calorie, Processed, High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Kadai Vegetable with Gravy,Vegetarian,Mediterranean,Dinner,276,13,37,14,"diabetes,heart",46,1.8,"Low GI, High Fiber, Heart Healthy","High Saturated Fat, Sodium, High Sugar, Refined Carbs",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature Dry,Vegetarian,Mediterranean,Lunch,452,18,70,22,hypertension,33,2.1,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Burrito,Vegan,Western,Breakfast,371,18,51,10,"obesity,general",39,1,"General Health, Weight Management","High Calorie, Processed, Excessive Processing",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Nuggets Mild,Non-Vegetarian,Asian,Snack,297,22,19,18,thyroid,68,4.2,Balanced Iodine,Goitrogenic Foods,Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Upma with Gravy,Vegetarian,Western,Breakfast,341,11,53,6,hypertension,46,1.7,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Biryani Spicy,Vegetarian,Asian,Lunch,447,12,64,10,thyroid,34,1.9,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki Spicy,Vegetarian,Western,Lunch,251,4,33,7,"diabetes,hypertension",42,1.7,"Low Sodium, Low GI, High Fiber","High Sugar, Refined Carbs, High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sausages Special,Non-Vegetarian,Asian,Lunch,299,18,7,27,diabetes,74,4.9,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chickpea Curry,Vegan,Indian,Lunch,339,16,60,7,"diabetes,heart",33,1.4,"Low GI, High Fiber, Heart Healthy","High Saturated Fat, Sodium, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Upma Deluxe,Vegetarian,Western,Breakfast,250,11,63,8,thyroid,47,2.6,Balanced Iodine,Goitrogenic Foods,Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sausages Special,Non-Vegetarian,Asian,Lunch,286,25,7,29,"ibs,general",69,4.8,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chia Pudding,Vegan,Asian,Lunch,304,11,34,13,"general,hypertension",46,1.8,"Low Sodium, General Health","Excessive Processing, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Prawn Curry Special,Non-Vegetarian,Mediterranean,Dinner,445,33,15,21,"hypertension,general",80,4.3,"Low Sodium, General Health","Excessive Processing, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thai Curry Spicy,Vegan,Asian,Dinner,326,14,53,17,thyroid,34,1.2,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Cutlet,Vegetarian,Western,Dinner,234,6,30,7,"general,hypertension",40,1.9,"Low Sodium, General Health","Excessive Processing, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mushroom Masala Mild,Vegetarian,Western,Lunch,370,16,21,19,ibs,34,2,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Stuffed Paratha with Gravy,Vegetarian,Indian,Lunch,361,10,46,13,pcos,41,2.7,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Smoothie Bowl,Vegan,Asian,Lunch,269,9,56,6,pcos,47,1.2,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Dinner,447,17,69,14,heart,53,2.7,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare Vegetarian Thali 283 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Nuggets Mild,Non-Vegetarian,Mediterranean,Snack,370,21,24,15,diabetes,97,3.8,"Low GI, High Fiber","High Sugar, Refined Carbs",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Sandwich Mild,Vegetarian,Asian,Snack,248,14,44,7,"pcos,obesity",38,2,"Anti-inflammatory, Weight Management","High Calorie, Processed, High Sugar, Processed Foods",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Rajma Special,Vegetarian,Western,Breakfast,294,17,43,8,heart,46,2.9,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Samosa,Vegetarian,Western,Snack,178,3,33,9,general,47,2.6,General Health,Excessive Processing,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dosa with Chutney Mild,Vegetarian,Indian,Breakfast,392,8,49,8,"general,diabetes",43,2,"Low GI, High Fiber, General Health","Excessive Processing, High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta with Gravy,Vegetarian,Asian,Dinner,478,14,29,37,"diabetes,hypertension",42,2.9,"Low Sodium, Low GI, High Fiber","High Sugar, Refined Carbs, High Sodium, Processed",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dhokla,Vegetarian,Mediterranean,Lunch,161,7,32,4,hypertension,37,2.2,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Biryani Deluxe,Non-Vegetarian,Asian,Lunch,564,30,74,12,hypertension,93,4.4,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature Deluxe,Vegetarian,Mediterranean,Breakfast,473,16,64,23,"general,hypertension",34,2.1,"Low Sodium, General Health","Excessive Processing, High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Dinner,490,17,59,14,thyroid,60,2,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare Vegetarian Thali 96 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Palak Paneer with Gravy,Vegetarian,Mediterranean,Dinner,390,17,18,25,ibs,63,1.6,Low FODMAP,High FODMAP,Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thai Curry Deluxe,Vegan,Asian,Lunch,414,13,49,18,thyroid,41,2,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhel Puri,Vegetarian,Mediterranean,Lunch,196,4,33,1,general,37,1.7,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chilla (Besan Pancake) Deluxe,Vegetarian,Mediterranean,Lunch,342,13,32,12,hypertension,38,2.3,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry,Vegan,Mediterranean,Lunch,355,19,28,15,"diabetes,general",33,1.4,"Low GI, High Fiber, General Health","Excessive Processing, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Kachori with Gravy,Vegetarian,Indian,Lunch,271,4,31,12,"general,heart",38,1.8,"Heart Healthy, General Health","Excessive Processing, High Saturated Fat, Sodium",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Burrito Special,Vegan,Western,Lunch,350,19,66,11,"obesity,thyroid",46,1.1,"Balanced Iodine, Weight Management","High Calorie, Processed, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhel Puri Special,Vegetarian,Indian,Dinner,186,4,43,1,general,34,1.7,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Butter Chicken,Non-Vegetarian,Western,Lunch,427,33,16,29,hypertension,90,4.6,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Paneer Butter Masala Dry,Vegetarian,Indian,Dinner,386,20,27,26,obesity,68,1.9,Weight Management,"High Calorie, Processed",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
